Symbol,Name Arabic,Current Price (EGP),Change %,Fair Value (EGP),Fair Value Upside %,Signal,RSI (14),SMA20,SMA50,Support (EGP),Resistance (EGP),Entry Zone Min (EGP),Entry Zone Max (EGP),Target 1 (EGP),Target 2 - Fair Value (EGP),Stop Loss (EGP),Sharia Status,Last Update Time
ORAS,"أوراسكوم كونستراكشون",712.2,-0.79,1068.3,50,NEUTRAL,50.42,704.34,724.54,455.3,890.8,704.44,719.97,743.26,1068.3,688.91,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
ORWE,"النساجون الشرقيون",22.6,-1.31,33.9,50,NEUTRAL,43.4,22.88,22.94,20.56,24.87,22.43,22.78,23.3,33.9,22.08,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
ETEL,"المصرية للاتصالات",103.6,-3,155.4,50,BUY,62.41,99.59,96.42,58.34,130.92,102.1,105.09,109.58,155.4,99.11,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
GGRN,"جو جرين للاستثمار الزراعي والتنمية",1.5,-1.96,2.25,50,BUY,51.59,1.46,1.49,0.72,2.57,1.48,1.52,1.6,2.25,1.43,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
MOIL,"الخدمات الملاحية والبترولية",0.68,0.44,1.02,50,BUY,90.29,0.57,0.51,0.45,0.8,0.67,0.69,0.72,1.02,0.65,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
DGTZ,"ديجيتايز للاستثمار والتقنية",2.65,-2.21,3.97,49.81,BUY,50.95,2.63,2.62,0.38,6.95,2.6,2.69,2.83,3.97,2.51,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
MPCI,"ممفيس للأدوية والصناعات الكيماوية",290,-1.36,417.23,43.87,BUY,74.61,258.88,235.85,260,285,284.44,295.56,312.22,417.23,273.33,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
FTNS,"فتنس برايم للاندية الصحية",1.35,6.3,1.83,35.56,BUY,60.96,1.26,1.2,1.05,1.71,1.32,1.38,1.47,1.83,1.26,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
PHDC,"بالم هيلز للتعمير",14.5,-0.75,19.61,35.24,NEUTRAL,44.65,14.79,14.85,8.85,18.29,14.29,14.71,15.32,19.61,13.88,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
ELNA,"النصر لتصنيع الحاصلات الزراعية",37.54,-1.73,48.27,28.58,NEUTRAL,43.83,38.48,38.99,28.87,48.95,36.84,38.24,40.36,48.27,35.42,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
ISPH,"ابن سينا فارما",11.37,-1.13,14.36,26.3,NEUTRAL,42.19,11.54,11.77,9.43,13.52,11.24,11.5,11.89,14.36,10.98,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
EFIC,"المالية والصناعية المصرية",198,-2.17,249.85,26.19,NEUTRAL,57.71,187.43,198.05,160.27,237.77,194.24,201.76,213.04,249.85,186.72,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
SKPC,"سيدى كرير للبتروكيماويات",15.71,-1.5,19.55,24.44,NEUTRAL,42.82,16.05,16.49,13.29,19.03,15.52,15.91,16.49,19.55,15.13,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
ICFC,"الدولية للأسمدة والكيماويات",15.5,-0.9,19.18,23.74,NEUTRAL,54.72,15.25,15.36,12.94,18.63,15.3,15.7,16.3,19.18,14.9,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
MOED,"المصرية لنظم التعليم الحديثة",0.68,-2.87,0.84,23.53,BUY,37.53,0.71,0.71,0.41,0.97,0.67,0.69,0.72,0.84,0.65,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
EDFM,"مطاحن شرق الدلتا",386.16,0.83,476.49,23.39,BUY,68.7,362.87,345.58,278.77,481.77,376.25,396.08,425.82,476.49,356.42,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
